Hora,Modo_Operacao,PV_kW,Load_kW,Setpoint_BESS_kW,SOC_Final_%
1,IDLE,0.024,3.184,0.0,15.0
2,IDLE,0.022,2.945,0.0,15.0
3,IDLE,0.015,3.186,0.0,15.0
4,ARB (Charge),0.002,3.539,2.5,39.25
5,ARB (Charge),0.0,3.285,2.5,63.5
6,ARB (Charge),0.036,3.652,2.5,87.75
7,IDLE,0.218,3.354,0.0,87.75
8,IDLE,0.613,4.234,0.0,87.75
9,SC (Discharge),1.28,6.918,-2.5,61.98
10,SC (Discharge),2.339,11.557,-2.5,36.2
11,SC (Discharge),3.69,12.231,-2.5,10.43
12,SC (Charge),4.868,11.933,0.0,10.43
13,SC (Charge),5.662,11.05,0.0,10.43
14,SC (Charge),6.003,9.428,0.0,10.43
15,SC (Charge),5.682,10.311,0.0,10.43
16,SC (Charge),5.086,11.245,0.0,10.43
17,SC (Charge),3.943,8.793,0.0,10.43
18,SC (Charge),2.515,6.1,0.0,10.43
19,SC (Discharge),1.068,4.377,-0.527,5.0
20,SC (Discharge),0.218,3.628,-0.0,5.0
21,SC (Discharge),0.023,3.742,-0.0,5.0
22,SC (Discharge),0.023,3.696,-0.0,5.0
23,ARB (Charge),0.025,3.844,2.5,29.25
24,ARB (Charge),0.026,3.632,2.5,53.5
