,grid_export_ph1,grid_export_ph2,grid_export_ph3
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,1403.3618580000002,1035.01744,666.673022
14,2173.8632580000003,1859.5857160000005,1545.3081750000001
15,1641.7091099999998,1297.9928169999998,954.2765239999999
16,864.3669390000005,489.52786300000025,114.68878800000039
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
