,grid_import_ph1,grid_import_ph2,grid_import_ph3
1,1714.0282264666666,1820.1764644666669,1926.3247024666668
2,1642.9095324666669,1741.091269466667,1839.273006466667
3,1717.410490866667,1823.6146998666668,1929.818909866667
4,1061.0910474,1179.0567283999999,1297.0224094
5,985.4003168,1094.9051898,1204.4100627999999
6,1083.4554962,1205.1864722,1326.9174472
7,933.3620028,1045.1560018,1156.9500008
8,1065.6849568,1206.8125058,1347.9400558
9,1648.8579044,1879.4636014,2110.0692974
10,2687.5182723999997,3072.7488273999998,3457.9793813999995
11,2439.228462,2846.915277,3254.6020929999995
12,1957.1414340000001,2354.898583,2752.655731
13,1427.7151139999999,1796.059532,2164.40395
14,827.553422,1141.8309639999998,1456.1085050000002
15,1199.384338,1543.100631,1886.816924
16,1678.384233,2053.223309,2428.062384
17,1323.6559389999998,1616.747832,1909.8397249999998
18,2525.0735631333337,2728.409042133334,2931.7445211333334
19,2490.5692313333334,2636.4792693333334,2782.3893063333335
20,2548.8821261333337,2669.8074311333335,2790.7327361333337
21,2648.045122733334,2772.770109733334,2897.495096733334
22,2634.603001533334,2757.801422533334,2880.9998425333342
23,2678.178849533334,2806.3167975333336,2934.454745533334
24,2614.235910333334,2735.3000543333337,2856.3641993333335
